"doc_id","text"
"1130309267741970433","Me trying to figure out what the need of the Nights Watch is now
#GameOfThrones<U+00A0> 
#GameOfThronesFinale https://t.co/EFTWLH3UBO"
"1130309267725193219","Agora entendo porque vc queria matar todos, desculpa por n<U+00E3>o estar do seu lado quando vc precisou #GameOfThrones https://t.co/AwuZJEgZ3t"
"1130309267716759558","Jon Snow pulling up to Castle Black like #GameOfThrones https://t.co/Qs8tvu1T08"
"1130309267699961858","I will be bringing this intro back to the tl even after it<U+2019>s all over. ICONIC. #TheFinalEpisode https://t.co/WCP4qWpdTk"
"1130309267691638785","Whatever your thoughts on the final season one thing is for certain. This man did one hell of a performance and we couldn<U+2019>t have asked for a better Tyrion Lannister. Thank you Peter Dinklage #GameOfThrones #TheFinalEpisode https://t.co/a6LY5t6goj"
"1130309267691581440","On en parle de Arya qui s'est lanc<U+00E9>e sur la route de Grandeline pour trouver le One Piece ?
#gameofthrones"
"1130309267691433984","<U+00BF>Y entonces qui<U+00E9>n se qued<U+00F3> con el trono? #GameOfThrones #GameOfThronesFinale https://t.co/UjtFIyVM5V"
"1130309267683254272","Basically #GameofThrones https://t.co/li03CXlSkV"
"1130309267683041280","Everyone after this last season of #GameofThrones https://t.co/lh2pmCjKl9"
"1130309267670667265","#GameOfThrones

The Dragon Queen. 

https://t.co/Pq7gaVGFFH"
"1130309267662221314","The fact that they literally put a line in there saying <U+201C>People love stories. And no one has a better story than Bran<U+201D> proves how far up their own ass they were because literally every other character had a better story than Bran #GameOfThrones"
"1130309267632865281","So let me get this right, not only did the criminal about to be executed name the new king, he also restructured the government, got a new job, and gave the king a nickname? #GameOfThrones #DemThrones"
"1130309267611967489","Volta Drogon!!!! E queima esse conselho!!!! #GameOfThrones"
"1130309267611951104","Whoever opens that book next after Brienne of <U+201C>didn<U+2019>t let the ink dry<U+201D> Tarth, gone be like
#GameofThrones #demthrones https://t.co/tSiNAT4oKn"
"1130309232845131776","Everyone passing around king bran like... #GameofThrones https://t.co/dJnXtQJghS"
"1130309267607605249","Night King laughing at Dany knowing how they will slaughter her character in the end...
One True King
 #GameOfThrones https://t.co/nTBR5LjG6G"
"1130309204772827138","Game of thrones be like..
#TheFinalEpisode #GameofThrones https://t.co/MHHz1WESZf"
"1130309267599351810","Eu com Yara greyjoy e verme cinzento , fi<U+00E9>is a sua rainha #GameofThrones https://t.co/xNRTOKt3fJ"
"1130309267553214466","""Jaime Lannister wasn't even good in bed""
#GameofThrones  #gameofthronesfinale  #got https://t.co/Htz6NTNox6"
"1130309267511304192","#GameofThrones #TheFinalEpisode 

Bran headed to King<U+2019>s Landing after everybody fought all the wars for him knowing damn well he was gonna be the King https://t.co/HoeTNy3V2Z"
"1130309220363120641","*record scratch* *freeze frame* 
Yup that's me. You're probably wondering how the fuck I ended up the ruler of Westeros 
#GameOfThrones https://t.co/2T9A8zOs0y"
"1130309267507109888","Jamie Lannister is the nastiest skank bitch I have ever met. Do not trust him, he is a fugly slut. #GameofThrones #GOT https://t.co/N4I3XvBeBy"
"1130309267477733376","Dos cosas me gustaron.
Drogon destruy<U+00F3> ese puto Trono de hierro.
Jon, se reencontr<U+00F3> con Ghost.
#GameOfThrones"
"1130309267397988352","Dan &amp; Dave and HBO , with all the money they made ,when they hear we didn't like season 8 #GameOfThrones https://t.co/aZYme0Wk0O"
"1130309267335073794","Want more #GameofThrones? Here's what we know about the spin-off https://t.co/AITPEkysgG"
"1130309267335069696","Gracias por tanto #GameOfThrones"
"1130309267288928256","No el final que quer<U+00ED>amos pero el final que necesit<U+00E1>bamos. #GoT #GameofThrones https://t.co/b3RORkLncx"
